#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         609    0.327629     0.32484  0.00057467
         610    0.317802    0.324828 0.000573844
         611    0.304548    0.324795 0.000573864
         612    0.321487    0.324789 0.000572951
         613    0.313482    0.324771 0.000572314
         614    0.326577    0.324774 0.000571389
         615    0.312182    0.324753 0.000570827
         616    0.317122    0.324741 0.000570034
         617    0.315475    0.324726 0.000569308
         618    0.329977    0.324734 0.000568451
         619    0.335889    0.324753 0.000567818
         620      0.3161    0.324739 0.000567073
         621     0.33865    0.324761 0.000566603
         622    0.344488    0.324793 0.000566578
         623    0.322056    0.324788 0.000565686
         624    0.302938    0.324753 0.000565862
         625    0.329227     0.32476 0.000565002
         626    0.290922    0.324706 0.000566679
         627    0.333058     0.32472 0.000565932
         628    0.342137    0.324747  0.00056571
         629    0.307801     0.32472 0.000565452
         630    0.300999    0.324683 0.000565807
         631    0.310095     0.32466 0.000565382
         632    0.319581    0.324652 0.000564545
         633    0.326441    0.324654  0.00056366
         634    0.324801    0.324655 0.000562771
         635     0.32568    0.324656 0.000561887
         636    0.315935    0.324643 0.000561171
         637    0.320456    0.324636 0.000560328
         638    0.314607     0.32462 0.000559671
         639    0.307438    0.324593  0.00055944
         640    0.309868     0.32457 0.000559039
         641    0.328744    0.324577 0.000558205
         642    0.326474     0.32458 0.000557343
         643    0.349979    0.324619 0.000557875
         644    0.318243    0.324609 0.000557096
         645    0.308614    0.324585 0.000556784
         646    0.348389    0.324622  0.00055714
         647    0.317847    0.324611 0.000556378
         648    0.346151    0.324644 0.000556511
         649    0.344708    0.324675 0.000556511
         650    0.338036    0.324696 0.000556035
         651    0.314849    0.324681 0.000555386
         652    0.314101    0.324664 0.000554772
         653    0.342722    0.324692 0.000554611
         654    0.335448    0.324709 0.000554007
         655    0.325971     0.32471 0.000553164
         656    0.327989    0.324715 0.000552343
         657    0.316442    0.324703 0.000551646
         658    0.305526    0.324674 0.000551577
         659    0.323019    0.324671 0.000550746
         660     0.32899    0.324678  0.00054995
         661    0.336362    0.324695 0.000549402
         662    0.315804    0.324682 0.000548737
         663     0.32688    0.324685 0.000547919
         664    0.350086    0.324724 0.000548428
         665    0.338248    0.324744  0.00054798
         666    0.331854    0.324755 0.000547261
         667    0.333812    0.324768 0.000546609
         668    0.329924    0.324776 0.000545845
         669    0.316682    0.324764 0.000545163
         670    0.307611    0.324738  0.00054495
         671    0.319911    0.324731 0.000544186
         672    0.349466    0.324768 0.000544619
         673    0.329459    0.324775 0.000543855
         674     0.32996    0.324782 0.000543102
         675     0.32774    0.324787 0.000542315
         676     0.34286    0.324814 0.000542172
         677    0.336657    0.324831 0.000541653
         678    0.328135    0.324836 0.000540876
         679    0.326468    0.324838 0.000540085
         680    0.305124    0.324809 0.000540068
         681    0.340278    0.324832 0.000539753
         682    0.325577    0.324833 0.000538962
         683    0.348174    0.324867 0.000539255
         684    0.327871    0.324872 0.000538485
         685    0.334364    0.324886 0.000537877
         686    0.301409    0.324851 0.000538181
         687    0.334138    0.324865 0.000537567
         688    0.312186    0.324846 0.000537101
         689    0.315501    0.324833 0.000536493
         690    0.305297    0.324805 0.000536462
         691    0.323599    0.324803 0.000535689
         692    0.302935    0.324771 0.000535846
