T:   H:   H_ERR:   MU:   SIGMA:
  0.00700288   -0.445453  0.00116187    0.799458    0.629011
  0.00689784   -0.445453  0.00116187    0.799458    0.629011
  0.00679437   -0.445453  0.00116187    0.799458    0.629011
  0.00669246   -0.445453  0.00116187    0.799458    0.629011
  0.00659207   -0.440718   0.0016028    0.766905    0.624263
  0.00649319   -0.440718   0.0016028    0.766905    0.624263
  0.00639579   -0.440718   0.0016028    0.766905    0.624263
  0.00629985   -0.440718   0.0016028    0.766905    0.624263
  0.00620536   -0.440718   0.0016028    0.766905    0.624263
  0.00611227   -0.440718   0.0016028    0.766905    0.624263
  0.00602059   -0.438022  0.00171707    0.761252    0.621094
  0.00593028   -0.444292  0.00151348     0.80549    0.624052
  0.00584133   -0.445232  0.00177076    0.796576    0.626264
  0.00575371   -0.445232  0.00177076    0.796576    0.626264
   0.0056674   -0.445232  0.00177076    0.796576    0.626264
  0.00558239   -0.446652  0.00152132    0.800628    0.610445
  0.00549866    -0.43904  0.00241594    0.832731    0.608389
  0.00541618    -0.43904  0.00241594    0.832731    0.608389
  0.00533493   -0.439967  0.00192472    0.816866    0.599782
  0.00525491   -0.439967  0.00192472    0.816866    0.599782
  0.00517609    -0.44457  0.00198995    0.771901    0.617706
  0.00509844    -0.44457  0.00198995    0.771901    0.617706
  0.00502197    -0.44457  0.00198995    0.771901    0.617706
  0.00494664    -0.44457  0.00198995    0.771901    0.617706
  0.00487244    -0.44457  0.00198995    0.771901    0.617706
  0.00479935    -0.44457  0.00198995    0.771901    0.617706
  0.00472736    -0.44457  0.00198995    0.771901    0.617706
  0.00465645   -0.441342  0.00135779    0.803195    0.613653
   0.0045866    -0.43809  0.00174703    0.831002    0.592701
  0.00451781    -0.43809  0.00174703    0.831002    0.592701
  0.00445004   -0.444055   0.0025645    0.796667     0.61784
  0.00438329   -0.444055   0.0025645    0.796667     0.61784
  0.00431754   -0.444055   0.0025645    0.796667     0.61784
  0.00425278   -0.444055   0.0025645    0.796667     0.61784
  0.00418898   -0.444055   0.0025645    0.796667     0.61784
  0.00412615   -0.441755  0.00174692    0.777014    0.633816
  0.00406426   -0.441755  0.00174692    0.777014    0.633816
  0.00400329   -0.441755  0.00174692    0.777014    0.633816
  0.00394324   -0.441755  0.00174692    0.777014    0.633816
  0.00388409   -0.441755  0.00174692    0.777014    0.633816
  0.00382583   -0.438101  0.00221716    0.797764    0.587086
  0.00376845   -0.438101  0.00221716    0.797764    0.587086
  0.00371192    -0.43704  0.00213077      0.8278    0.594894
  0.00365624    -0.43704  0.00213077      0.8278    0.594894
   0.0036014    -0.43704  0.00213077      0.8278    0.594894
  0.00354738    -0.43704  0.00213077      0.8278    0.594894
  0.00349416   -0.440408  0.00234723    0.820114    0.618285
  0.00344175   -0.440408  0.00234723    0.820114    0.618285
  0.00339013   -0.440408  0.00234723    0.820114    0.618285
  0.00333927   -0.440408  0.00234723    0.820114    0.618285
  0.00328919   -0.440408  0.00234723    0.820114    0.618285
  0.00323985   -0.440408  0.00234723    0.820114    0.618285
  0.00319125   -0.440408  0.00234723    0.820114    0.618285
  0.00314338   -0.440408  0.00234723    0.820114    0.618285
  0.00309623   -0.440078  0.00237679    0.783755    0.637567
  0.00304979   -0.437804  0.00198924    0.775334    0.638933
  0.00300404   -0.437804  0.00198924    0.775334    0.638933
  0.00295898   -0.437804  0.00198924    0.775334    0.638933
  0.00291459   -0.437804  0.00198924    0.775334    0.638933
  0.00287088   -0.437804  0.00198924    0.775334    0.638933
  0.00282781   -0.437804  0.00198924    0.775334    0.638933
   0.0027854   -0.437804  0.00198924    0.775334    0.638933
  0.00274361   -0.437648  0.00197503    0.764993    0.590706
  0.00270246   -0.437648  0.00197503    0.764993    0.590706
  0.00266192   -0.437648  0.00197503    0.764993    0.590706
  0.00262199   -0.437648  0.00197503    0.764993    0.590706
  0.00258266   -0.437648  0.00197503    0.764993    0.590706
  0.00254392   -0.437648  0.00197503    0.764993    0.590706
  0.00250577   -0.437648  0.00197503    0.764993    0.590706
  0.00246818   -0.444853  0.00249795    0.814118    0.601494
