#     BLOCK:  ACTUAL_PSI:     PSI_AVE:      ERROR:
          15       -0.55     0.03926 7.85378e-07
          15       -0.45     0.03712 9.88375e-07
          15       -0.35   0.0330133 9.71761e-07
          15       -0.25   0.0312667 8.61525e-07
          15       -0.15     0.03004 7.66597e-07
          15       -0.05     0.02878 6.46382e-07
          15        0.05     0.02778 8.79675e-07
          15        0.15   0.0299933 7.05479e-07
          15        0.25     0.03088 6.86312e-07
          15        0.35   0.0344133   8.087e-07
          15        0.45   0.0372333 8.56544e-07
          15        0.55   0.0390333  9.3962e-07
          15        0.65   0.0393133 9.14095e-07
          15        0.75      0.0441 7.24832e-07
          15        0.85   0.0419867 9.43936e-07
          15        0.95   0.0381867 7.95867e-07
          15        1.05     0.03512 6.75116e-07
          15        1.15   0.0272133  6.6344e-07
          15        1.25      0.0224  6.4802e-07
          15        1.35   0.0178733 6.33023e-07
          15        1.45      0.0123 5.49384e-07
          15        1.55  0.00887333 3.73912e-07
          15        1.65     0.00614 3.89824e-07
          15        1.75  0.00346667 1.61241e-07
          15        1.85  0.00216667 2.12517e-07
          15        1.95  0.00121333 1.67797e-07
          16       -1.95   0.0015375 1.50958e-07
          16       -1.85  0.00211875 2.07621e-07
          16       -1.75   0.0033375 2.46388e-07
          16       -1.65  0.00534375 2.41748e-07
          16       -1.55   0.0084125 3.25801e-07
          16       -1.45   0.0122312  5.8181e-07
          16       -1.35   0.0176063 3.17594e-07
          16       -1.25   0.0225437 7.32942e-07
          16       -1.15   0.0284187 6.95946e-07
          16       -1.05     0.03425 1.02865e-06
          16       -0.95   0.0389938 9.59143e-07
          16       -0.85   0.0402813 7.38599e-07
          16       -0.75   0.0428687 1.14512e-06
          16       -0.65   0.0411063 7.82043e-07
          16       -0.55   0.0395062 7.74038e-07
          16       -0.45   0.0371312 9.26665e-07
          16       -0.35   0.0328813 9.19984e-07
          16       -0.25   0.0316813 9.02184e-07
          16       -0.15   0.0302875 7.57692e-07
          16       -0.05   0.0284875 6.69066e-07
          16        0.05   0.0276875 8.29558e-07
          16        0.15   0.0300562 6.64194e-07
          16        0.25   0.0310438 6.62718e-07
          16        0.35   0.0340563 8.33472e-07
          16        0.45    0.037225 8.03051e-07
          16        0.55   0.0390688 8.81563e-07
          16        0.65   0.0393813 8.59491e-07
          16        0.75   0.0436937 7.85442e-07
          16        0.85   0.0416313 9.49672e-07
          16        0.95   0.0383063 7.55081e-07
          16        1.05     0.03535 6.71061e-07
          16        1.15     0.02745 6.62956e-07
          16        1.25   0.0224875 6.13415e-07
          16        1.35    0.017775 6.01069e-07
          16        1.45   0.0123187 5.15368e-07
          16        1.55     0.00885 3.51272e-07
          16        1.65  0.00603125 3.80368e-07
          16        1.75  0.00353125 1.63621e-07
          16        1.85  0.00215625  1.9949e-07
          16        1.95  0.00124375  1.6005e-07
          17       -1.95  0.00152941 1.42381e-07
          17       -1.85  0.00204706 2.07574e-07
          17       -1.75  0.00330588 2.34061e-07
          17       -1.65      0.0054 2.34139e-07
          17       -1.55  0.00851176 3.21637e-07
          17       -1.45   0.0124353 5.82712e-07
          17       -1.35   0.0175118 3.12876e-07
          17       -1.25   0.0227118 7.09302e-07
          17       -1.15   0.0285765 6.73096e-07
          17       -1.05   0.0343059 9.70243e-07
          17       -0.95   0.0389765 9.03421e-07
          17       -0.85   0.0402647 6.95755e-07
          17       -0.75   0.0424882 1.14008e-06
          17       -0.65   0.0409235 7.57599e-07
          17       -0.55   0.0396647 7.45041e-07
          17       -0.45   0.0369647  8.8757e-07
          17       -0.35   0.0330706 8.85722e-07
          17       -0.25   0.0313471 9.09614e-07
          17       -0.15   0.0302941 7.13579e-07
          17       -0.05   0.0282294 6.78198e-07
          17        0.05   0.0278765 8.02536e-07
          17        0.15   0.0300176 6.26624e-07
